Neighborhood,Sector #,Population (2010),Total # Units (2000),Total # Units (2010),% Occupied Units (2010),% Vacant Units (2010),# Occupied Units (2010),% Owner Occupied Units (2010),% Renter Occupied Units (2010),Est. Avg. Yrs. of Residence (2010),% Living in Household (2010),% Living in Group Quarters (2010),% Units Built 00-09,% Units Built 90-99,% Units Built 80-89,% Units Built 60-79,% Units Built 40-59,% Units Built before 1939,Median Home Value (2008),Med. Val.,Median Home Value,% Change Real Value 2000-2010,Median Sale Price,# Sales Counted,Foreclosures,% of all Housing Units Foreclosed
Marshall-Shadeland,2,6043,2448,2253,0.811,0.189,1939,0.62,0.38,7,0.92,0.08,0.015,0,0,0.034,0.277,0.675,47100,59643,61900,0.038,13500,101,37,0.016
Middle Hill,15,1707,1334,1120,0.821,0.179,967,0.443,0.557,4,1,0,0.165,0,0.045,0.091,0.078,0.621,30200,38242,72800,0.904,4317,152,5,0.004
Morningside,12,3346,1679,1643,0.929,0.071,1645,0.669,0.331,5,0.995,0.005,0,0,0.017,0.039,0.215,0.728,59500,75345,89700,0.191,83250,48,8,0.005
Mount Washington,6,8799,5251,5175,0.863,0.137,4681,0.502,0.498,4,1,0,0.02,0.021,0.04,0.111,0.233,0.575,55450,70216,78175,0.113,46000,203,31,0.006
Mt. Oliver,7,509,246,232,0.836,0.164,213,0.676,0.324,12,1,0,0,0,0,0.099,0.329,0.573,39200,49639,56700,0.142,15000,6,42,0.181
New Homestead,8,990,387,429,0.939,0.061,436,0.904,0.096,19,1,0,0.131,0.032,0.03,0.381,0.181,0.245,90900,115107,117400,0.02,100000,11,3,0.007
North Oakland,14,10551,4003,3761,0.945,0.055,3234,0.293,0.707,6,0.56,0.44,0.026,0.017,0.06,0.228,0.272,0.397,222423,281654,273000,-0.031,145000,61,8,0.002
North Shore,16,303,251,241,0.855,0.145,183,0,1,0,1,0,0.17,0.602,0.058,0.058,0.112,0,20000,25326,N/A,N/A,19524500,2,0,0
Northview Heights,1,1214,879,723,0.636,0.364,527,0,1,4,1,0,0,0.105,0.028,0.555,0.101,0.211,29400,37229,N/A,N/A,30903,2,1,0.001
Oakwood,4,1027,551,571,0.954,0.046,575,0.438,0.562,5,1,0,0,0.035,0.081,0.226,0.382,0.276,74500,94339,108500,0.15,105000,9,0,0
Overbrook,5,3644,1726,1706,0.929,0.071,1700,0.882,0.118,16,1,0,0,0,0,0.089,0.516,0.394,61850,78321,76200,-0.027,63150,64,0,0
Perry North,2,4050,2116,1929,0.87,0.13,1698,0.765,0.235,7,0.975,0.025,0,0.007,0.075,0.12,0.222,0.576,61850,78321,76300,-0.026,43750,96,20,0.01
Perry South,2,4145,2612,2361,0.765,0.235,1728,0.469,0.531,5,0.982,0.018,0.044,0.015,0.079,0.16,0.248,0.454,44500,56350,51350,-0.089,4798,114,15,0.006
Point Breeze,10,5315,2565,2483,0.951,0.049,2458,0.794,0.206,10,0.982,0.018,0.022,0.005,0.009,0.072,0.148,0.744,164000,207673,240300,0.157,242500,78,27,0.011
